Lat [deg],Lon [deg],Alt Ellips [m]
42.16415834,-79.963037,189.2181
42.16415716,-79.96303969,189.1962
42.16415615,-79.96304238,189.2047
42.1641549,-79.96304516,189.1886
42.16415366,-79.96304802,189.1815
42.16415248,-79.96305083,189.172
42.1641513,-79.96305368,189.1661
42.16415014,-79.96305666,189.1543
42.164149,-79.96305954,189.1454
42.16414783,-79.96306261,189.1487
42.16414662,-79.96306563,189.1518
42.1641454,-79.96306864,189.1302
42.16414407,-79.96307167,189.1335
42.16414287,-79.96307478,189.1125
42.16414149,-79.96307793,189.1112
42.16414006,-79.9630812,189.0957
42.16413881,-79.96308444,189.0918
42.1641376,-79.96308771,189.1116
42.16413632,-79.96309102,189.1296
42.16413483,-79.96309429,189.0997
42.16413341,-79.9630977,189.0914
42.164132,-79.96310099,189.0739
42.1641306,-79.96310436,189.0666
42.1641292,-79.96310769,189.0575
42.16412786,-79.96311117,189.0614
42.16412638,-79.96311464,189.0277
42.16412492,-79.96311809,189.0083
42.16412343,-79.96312152,189.0031
42.1641219,-79.96312498,188.9739
42.16412039,-79.96312856,188.9547
42.16411907,-79.96313209,188.9659
42.16411749,-79.96313564,188.9504
42.16411618,-79.96313918,188.9609
42.16411458,-79.96314281,188.9417
42.16411308,-79.96314639,188.9366
42.1641116,-79.96314998,188.9188
42.16411002,-79.96315375,188.9243
42.16410845,-79.96315761,188.911
42.16410687,-79.96316145,188.9106
42.16410522,-79.96316524,188.8859
42.16410367,-79.96316915,188.8834
42.1641022,-79.96317312,188.8852
42.16410071,-79.96317713,188.9117
42.1640992,-79.96318116,188.9185
42.16409764,-79.96318511,188.9243
42.16409594,-79.96318907,188.9098
42.16409434,-79.96319307,188.907
42.16409259,-79.96319706,188.9005
42.16409098,-79.96320105,188.9002
42.16408942,-79.96320511,188.9146
42.16408788,-79.96320921,188.9354
42.16408633,-79.96321327,188.959
42.16408469,-79.96321737,188.9627
42.16408306,-79.96322149,188.965
42.16408145,-79.96322563,188.961
42.16407974,-79.96322972,188.9436
42.16407808,-79.96323385,188.9322
42.16407639,-79.96323805,188.9516
42.16407481,-79.96324225,188.9399
42.1640731,-79.96324645,188.9295
42.16407139,-79.9632507,188.9449
42.16406973,-79.963255,188.9587
42.16406793,-79.96325933,188.9514
42.16406613,-79.96326364,188.9503
42.16406451,-79.96326798,188.9568
42.16406271,-79.9632724,188.9609
42.16406097,-79.96327694,188.9679
42.16405909,-79.9632814,188.9642
42.16405734,-79.96328587,188.9757
42.1640555,-79.96329042,188.9822
42.16405364,-79.96329489,188.9805
42.16405185,-79.96329949,188.9869
42.16405002,-79.96330407,188.9947
42.16404816,-79.96330861,188.9851
42.16404619,-79.96331321,188.9762
42.16404425,-79.96331784,188.9579
42.16404238,-79.96332248,188.9685
42.16404044,-79.96332716,188.9501
42.16389981,-79.96366773,189.1682
42.16389709,-79.96367426,189.1721
42.16389436,-79.96368077,189.18
42.16389164,-79.96368732,189.1843
42.16388889,-79.9636939,189.1854
42.16388615,-79.96370052,189.1914
42.16388339,-79.9637071,189.1858
42.16388066,-79.96371375,189.187
42.1638779,-79.96372039,189.191
42.16387511,-79.9637271,189.1973
42.16387229,-79.96373384,189.2106
42.16386947,-79.96374061,189.2153
42.16386665,-79.96374745,189.2238
42.1638638,-79.9637543,189.2324
42.16386095,-79.9637612,189.2438
42.16385812,-79.96376809,189.2612
42.16385528,-79.96377502,189.2735
42.16385241,-79.96378199,189.281
42.16384952,-79.96378902,189.2986
42.16384666,-79.96379602,189.3065
42.16384375,-79.96380311,189.3187
42.16384086,-79.96381023,189.3303
42.16383793,-79.96381734,189.3345
42.16383495,-79.96382452,189.3394
42.16383202,-79.96383168,189.3493
42.16382902,-79.96383888,189.3573
42.16382602,-79.96384609,189.3693
42.16382303,-79.96385331,189.37
42.16381999,-79.96386062,189.3763
42.16381696,-79.96386791,189.3832
42.16381389,-79.96387523,189.3886
42.16381081,-79.96388262,189.3956
